id_federal,nom,prenom,code_club,sexe,date_naissance,code_style,licence_valide_jusqu_au
FR-100001,Dupont,Marie,77123,F,1995-03-14,BB-R,2026-12-31
FR-100002,Martin,Léo,77123,M,1995-06-01,BB-R,2026-12-31
FR-100003,Petit,Alexandre,75001,M,1988-11-20,FS-C,2026-12-31
FR-100004,Bernard,Chloe,75001,F,2010-05-02,LB,2026-12-31
FR-100005,Durand,Hugo,69001,M,2015-09-10,BB-R,2026-12-31
FR-100006,Moreau,Camille,69001,F,2008-01-15,FU,2026-12-31
FR-100007,Lefevre,Julien,33000,M,1965-04-22,TR,2026-12-31
FR-100008,Roux,Isabelle,33000,F,1958-08-30,BH-R,2026-12-31
FR-100009,Fournier,Thomas,59000,M,1999-12-05,HB,
FR-100010,Girard,Emma,59000,F,2003-07-19,BL,2026-12-31
